search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,engineering_skills,writing_skills,technical_programming_skills,language_translation_skills,finance_accounting_skills,management_skills,marketing_business_skills,performance_arts_skills,design_skills,teaching_training_skills,miscellaneous_skills,language_certifications,freelancer_certifications,general_skill_certifications,programming_certifications,top_skill_category,top_skill_category_encoded,top_skill_category_count
2,Tracy,1,7242,0,35,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,2,3,0,4,0,0,0,3,0,2,0,1,0,0,finance_accounting_skills,1,4
2,Michael,0,7416,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,4,0,1,5,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
2,Rebekah,1,7366,4,65,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,2,0,0,0,0,0,0,0,0,finance_accounting_skills,1,9
0,Nancy,1,7370,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Robert,0,7474,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Syedris,0,6241,2,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,2,5,7,1,4,0,2,0,1,0,0,0,0,finance_accounting_skills,1,7
0,Dawn,1,7291,5,65,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,finance_accounting_skills,1,5
0,Hannah,1,7448,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Stacey,1,7435,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,Dalton,0,7414,1,28,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,1
0,Glynnis,1,6276,1,15,0.0,0.0,0,1,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,5,3,6,1,2,0,2,0,1,0,0,0,0,finance_accounting_skills,1,6
0,Oddailin,1,6706,5,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Yurleidis,1,7518,5,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Elizabeth,1,7540,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Kim,1,5684,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,7
0,Lisa,1,7416,0,55,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,1,0,0,0,0,finance_accounting_skills,1,10
0,Kandregula,1,7340,0,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Kate,1,7416,0,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,finance_accounting_skills,1,11
0,Niki,1,7428,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,Agustina,1,7398,1,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,8,2,0,0,0,0,2,0,0,0,0,finance_accounting_skills,1,8
0,Jemimah,1,7549,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Mehul,0,7557,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Brad,0,6849,0,200,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,6
0,Yang,1,6731,1,25,1.8,0.0,0,0,100.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,Moath,0,7376,4,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,1
0,Doris,1,7238,4,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,1,0,0,0,0,finance_accounting_skills,1,7
0,Md,0,7283,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,3,0,5,1,2,0,0,0,2,0,0,0,0,finance_accounting_skills,1,5
0,Payton,1,7174,5,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,9
0,Marie,1,7353,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,4,0,0,8,1,1,0,0,1,1,0,0,0,0,finance_accounting_skills,1,8
0,Ethel,1,6981,4,75,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,1,3,0,0,0,1,0,0,0,0,finance_accounting_skills,1,10
0,Michelle,1,6137,4,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0,7,0,2,0,1,0,0,1,0,1,0,finance_accounting_skills,1,7
0,Louisa,1,5177,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,2,2,5,0,0,0,0,1,1,1,0,0,0,finance_accounting_skills,1,5
0,Humaid,0,6129,5,12,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,3,3,0,6,0,1,0,3,1,0,0,0,0,0,finance_accounting_skills,1,6
0,Heather,1,7298,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,2,2,0,7,0,3,0,0,2,1,0,0,1,0,finance_accounting_skills,1,7
0,Andrea,1,7454,0,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Claudemir,0,7320,5,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Mateo,0,7409,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Bk,0,7360,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,6
0,Domonique,1,7463,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,finance_accounting_skills,1,9
0,Ronke,1,6573,1,100,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Amanda,1,6524,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Carlton,0,7267,4,105,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,3,0,6,0,4,0,0,1,0,0,0,0,0,finance_accounting_skills,1,6
0,Hue,0,5533,2,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,3
0,Shineeza,1,7537,5,40,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,3
0,Helga,1,6658,4,10,1.4,5.0,1,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,4,0,0,0,0,finance_accounting_skills,1,3
0,Noelle,1,7376,2,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Jamie,1,7495,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,1,0,0,0,0,finance_accounting_skills,1,4
0,Mike,0,7461,3,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,2,0,0,1,0,0,0,0,0,finance_accounting_skills,1,8
0,Luke,0,7362,2,125,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,AMaul,0,7491,5,15,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Rick,0,7464,5,60,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,0,0,0,2,0,0,0,0,finance_accounting_skills,1,6
0,Giovanni,0,7443,1,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,1,1,0,0,0,0,finance_accounting_skills,1,8
0,Hoyt,0,6698,1,150,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,1,0,0,0,0,finance_accounting_skills,1,4
0,Surender,0,6512,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,Michael,0,7464,0,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,0,0,0,2,0,0,0,0,finance_accounting_skills,1,6
0,Shawnda,1,7020,4,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,finance_accounting_skills,1,7
0,Jenieva,1,5567,4,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,Melissa,1,7566,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,Mohsin,0,7516,1,75,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,"['Business', 'Management']",0,7566,2,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,2,4,0,0,1,0,0,0,0,0,finance_accounting_skills,1,11
0,Reginald,0,7320,0,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Jennifer,1,7559,2,45,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,Devon,0,4352,1,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,6
0,Freddy,0,7380,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,5
0,Tatiana,1,5978,1,99,5.7,5.0,28,3,100.0,100.0,95.0,1,1,1,1,0,1,1,1,1,0,3,0,1,8,0,3,0,0,0,2,1,1,1,0,finance_accounting_skills,1,8
0,Madison,1,7328,2,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1,0,0,0,0,0,finance_accounting_skills,1,3
0,Jonathan,0,7388,4,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,5
0,Jane-Ann,1,7293,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,7
0,Kelly,1,6728,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,Sondra,1,6817,5,2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,Syd,0,6642,5,50,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,7
0,Brian,0,7486,1,23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Beverly,1,7518,2,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,finance_accounting_skills,1,5
0,Alejandra,1,5461,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,1,3,1,5,1,3,0,1,0,3,0,0,0,0,finance_accounting_skills,1,5
0,Evelyn,1,7556,2,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,2
0,David,0,7375,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,finance_accounting_skills,1,4
0,Mujeeb,0,7198,0,80,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,1,3,0,0,1,0,0,0,0,0,finance_accounting_skills,1,8
0,Cheyenne,1,7490,1,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,4
0,Juan,0,5395,1,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,finance_accounting_skills,1,3
0,Angel,0,7510,5,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,finance_accounting_skills,1,3
0,Roselen,1,7396,2,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,finance_accounting_skills,1,9
